 , C00, C01, C02, C03, C12, C16, C22, C29, C30, C32, C36, C38
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.09996272164523574, 0, 0, 0.7712936, 0, 0.5977416, 0, 0, 0, 0, 1.967146, 0, 0
0.1999254432904715, 0, 0, 0.7107792, 0, 1.134769, 0, 0, 0, -4.768372e-07, 2.638629, 0, 2.978176
0.2998881649357072, 5.960464e-08, 0, 0.9183512, 0, 1.081294, 0, 0, 0, -2.384186e-07, 2.497814, 0, 2.8056
0.399850886580943, 5.960464e-08, 0.1770488, 2.343927, 0, 3.200439, 0, 0, 0, -2.384186e-07, 2.364513, 0.5994011, 2.643025
0.4998136082261787, 5.960464e-08, 0.1633757, 2.160026, 0, 3.049623, 0, 1.188169, 1.192093e-07, -4.768372e-07, 2.238327, 0.5351439, 2.489869
0.5997763298714145, 5.960464e-08, 1.245627, 2.395441, 0, 4.849457, 0, 1.127112, 1.192093e-07, -4.768372e-07, 2.118874, 0.4777752, 2.345589
0.6997390515166502, 5.960464e-08, 1.149431, 4.203988, 0, 5.912134, 0, 1.364369, 1.192093e-07, -4.768372e-07, 2.005797, 0.4265566, 3.143825
0.799701773161886, 8.940697e-08, 1.060664, 11.28593, -2.328306e-10, 6.594389, 0, 1.294259, 1.192093e-07, -4.768372e-07, 1.898754, 0.3808288, 2.96165
0.8996644948071216, 5.960464e-08, 0.9787515, 20.5065, 0, 7.42242, 0, 1.227751, 1.192093e-07, -4.768372e-07, 1.797423, 0.3400031, 4.72739
0.9996272164523574, 5.960464e-08, 0.9031653, 19.8925, 0, 7.072647, 0, 1.16466, 5.960464e-08, -4.768372e-07, 1.7015, 0.303554, 5.273222
1.099589938097593, 2.980232e-08, 0.8334164, 18.33176, 0, 6.739357, 0, 1.104814, 5.960464e-08, -2.384186e-07, 1.610697, 0.2710123, 4.967656
1.199552659742829, 0.08019155, 0.7690539, 16.92138, 1.164153e-10, 6.421772, 0, 1.048041, 5.960464e-08, 0, 1.524739, 0.2419591, 5.252941
1.299515381388065, 0.07594639, 0.7096621, 17.54741, 1.164153e-10, 6.78782, 0, 0.9941859, 5.960464e-08, -2.384186e-07, 1.443368, 0.2160206, 4.948549
1.3994781030333, 0.07192597, 0.6548569, 17.05125, 0, 6.467954, 0, 0.9430981, 5.960464e-08, -1.192093e-07, 1.36634, 0.2405055, 4.661797
1.499440824678536, 0.06811839, 0.6042841, 15.71343, 0, 7.650004, 0, 0.8946357, 5.960464e-08, -1.192093e-07, 1.293423, 0.2147228, 4.39166
1.599403546323772, 0.06451237, 0.6699042, 14.48057, 0, 7.289508, 0, 0.8486633, 0, -1.192093e-07, 1.224397, 0.191704, 4.137177
1.699366267969008, 0.06109723, 0.6181694, 15.50205, 1.164153e-10, 6.945998, 0, 0.8050532, 0, 0, 1.159055, 0.1711529, 4.473143
1.799328989614243, 0.2370134, 0.5704299, 14.28578, 1.164153e-10, 6.618677, 0, 0.7636843, -5.960464e-08, 0, 1.0972, 0.1528049, 4.213939
1.899291711259479, 0.2244665, 0.5263772, 13.16494, 0, 7.649303, 0, 0.7244411, -5.960464e-08, 0, 1.038646, 0.1364239, 3.969754
1.999254432904715, 0.2125837, 0.4857266, 14.37965, 0, 8.988718, 0, 0.6872144, -5.960464e-08, 1.192093e-07, 0.9832166, 0.1217989, 4.03354
2.099217154549951, 0.2013301, 0.4482152, 13.25144, 1.164153e-10, 8.565136, 0, 0.6519008, -5.960464e-08, 1.192093e-07, 0.9307455, 0.1087418, 3.799809
2.199179876195186, 0.1906721, 0.7270183, 13.0601, 1.164153e-10, 9.645021, 0, 0.618402, -5.960464e-08, 1.192093e-07, 0.8810745, 0.3037369, 3.579622
2.299142597840422, 0.1805784, 0.6708727, 13.26494, 0, 9.190512, 0, 0.5866246, -8.940697e-08, 0.4631102, 0.9007185, 0.2711756, 3.372194
2.399105319485658, 0.171019, 0.6190631, 12.53414, 5.820766e-11, 8.757421, 0, 0.5564799, -8.940697e-08, 0.4355314, 0.8526499, 0.2421049, 3.176786
2.499068041130894, 0.1619656, 0.5712546, 11.55073, 5.820766e-11, 8.344737, 0, 0.5278842, -8.940697e-08, 0.4095951, 0.8071467, 0.2161507, 2.992702
2.599030762776129, 0.1533916, 0.5271382, 10.64447, 1.164153e-10, 7.951501, 0, 0.5007577, -8.940697e-08, 0.3852034, 0.7640718, 0.1929789, 2.819284
2.698993484421365, 0.1452713, 0.4864287, 11.07862, 1.164153e-10, 7.576796, 0, 0.4750257, -8.940697e-08, 0.3622642, 0.7232957, 0.1722911, 2.655915
2.798956206066601, 0.137581, 0.4488632, 10.5122, 1.164153e-10, 7.219749, 0, 0.4506156, -8.940697e-08, 0.3406909, 0.6846957, 0.1538211, 2.502013
2.898918927711836, 0.1302978, 0.7050481, 10.00522, 1.164153e-10, 6.879527, 0, 0.42746, -8.940697e-08, 0.3204023, 0.7604751, 0.1373311, 2.357029
2.998881649357072, 0.1234001, 0.6505992, 9.220223, 1.164153e-10, 7.76333, 0, 0.4054942, -8.940697e-08, 1.196975, 0.719891, 0.1226089, 2.220447
3.098844371002308, 0.1168676, 0.6003553, 8.939724, 1.164153e-10, 7.397491, 0, 0.3846574, -8.940697e-08, 1.125694, 0.6814727, 0.1094649, 2.400965
3.198807092647544, 0.1106809, 0.5539915, 8.238324, 1.74623e-10, 7.586857, 0, 0.3648911, -7.450581e-08, 1.058657, 0.6451046, 0.09773005, 2.261837
3.298769814292779, 0.1048217, 0.5112082, 8.441032, 1.74623e-10, 7.229335, 0, 0.3461404, -7.450581e-08, 0.9956132, 0.6106774, 0.08725316, 2.198632
3.398732535938015, 0.09927271, 0.6661087, 7.778759, 1.164153e-10, 6.888661, 0, 0.3283534, -5.960464e-08, 1.039507, 0.5780875, 0.07789942, 2.071228
3.498695257583251, 0.09401745, 0.614667, 8.056259, 1.164153e-10, 6.564042, 0, 0.3114805, -5.960464e-08, 0.9776034, 0.5472368, 0.06954842, 3.132373
3.598657979228487, 0.08904038, 0.567198, 14.79165, 1.164153e-10, 6.254719, 0, 0.2954745, -5.960464e-08, 0.9193861, 0.5180325, 0.06209267, 2.950862
3.698620700873722, 0.0843268, 0.5233949, 26.94898, 1.164153e-10, 5.959973, 0, 0.2802911, -4.470348e-08, 0.8646356, 0.4903867, 0.05543619, 3.067354
3.798583422518958, 0.07986273, 0.4829745, 33.86541, 1.164153e-10, 5.679116, 0, 0.265888, -4.470348e-08, 0.8131457, 0.4642163, 0.04949331, 2.889611
3.898546144164194, 0.07563497, 0.4456758, 33.15734, 1.164153e-10, 5.411495, 0, 0.2522249, -5.960464e-08, 0.764722, 0.4394426, 0.5544401, 4.327189
3.99850886580943, 0.07163104, 0.4112574, 30.55586, 1.164153e-10, 5.990247, 0, 0.2392639, -4.470348e-08, 0.719182, 0.4159909, 0.4950028, 4.076442
4.098471587454665, 0.06783905, 0.3794971, 28.15848, 1.164153e-10, 5.986268, 0, 0.2269689, -4.470348e-08, 0.6763539, 0.3937908, 0.4419374, 3.840225
4.198434309099901, 0.06424781, 0.3501896, 25.9492, 8.731149e-11, 5.704172, 0, 0.2153057, -4.470348e-08, 1.550634, 0.3727754, 0.3945607, 3.617696
4.298397030745137, 0.06084668, 0.3231454, 24.69583, 5.820766e-11, 5.435369, 0, 0.2042419, 2.337273, 1.68035, 0.3528816, 0.3522629, 3.408062
4.398359752390372, 0.0576256, 0.6699935, 22.75823, 5.820766e-11, 5.179234, 0, 0.1937466, 10.45086, 1.580283, 0.3340494, 0.3144995, 4.232882
4.498322474035608, 0.05457503, 0.6182518, 25.00996, 5.820766e-11, 4.935169, 0, 0.1837906, 12.11401, 1.486176, 0.3162223, 0.5722666, 3.9876
4.598285195680844, 0.05168596, 0.5705059, 23.0477, 5.820766e-11, 5.583279, 0, 0.6497402, 11.39672, 1.397672, 0.2993465, 0.5109183, 3.809494
4.698247917326079, 0.2112974, 0.5264474, 21.23941, 5.820766e-11, 5.320173, 0, 0.6163522, 12.32349, 1.31444, 0.2833713, 0.4561467, 3.588746
4.798210638971316, 0.8708718, 0.4857913, 20.34151, 5.820766e-11, 6.584586, 0, 0.58468, 11.59379, 1.236163, 0.2682487, 0.4072467, 3.38079
4.898173360616552, 0.9792322, 0.4482749, 18.74554, 5.820766e-11, 6.274295, 0, 0.5546352, 10.9073, 1.162549, 0.2539331, 0.363589, 3.184883
4.998136082261787, 0.9273939, 0.4136559, 18.27376, 8.731149e-11, 6.3809, 0, 0.5261343, 10.26146, 1.093318, 0.2403815, 0.3246114, 3.092964
5.098098803907023, 0.8782998, 0.3817104, 17.60138, 8.731149e-11, 6.080208, 0, 0.499098, 9.653862, 1.028209, 0.2275531, 0.2898123, 2.913736
5.198061525552259, 0.8318047, 0.4947661, 16.2204, 8.731149e-11, 5.793685, 0, 0.473451, 9.08224, 0.9669783, 0.2154093, 0.2587438, 2.744894
5.298024247197494, 0.7877709, 0.4565567, 15.12248, 8.731149e-11, 5.520665, 0, 0.4491219, 8.544464, 1.037138, 0.2039136, 0.2310058, 3.466275
5.39798696884273, 0.7460681, 0.4336245, 15.9559, 5.820766e-11, 5.26051, 0, 0.426043, 8.038531, 1.887113, 0.1930314, 0.2062415, 5.080055
5.497949690487966, 0.7065729, 0.4001369, 14.70401, 5.820766e-11, 5.012615, 0, 0.4041501, 7.562555, 1.774733, 0.1827299, 0.1841319, 4.785682
5.597912412133201, 0.6691687, 0.3692354, 13.90849, 5.820766e-11, 5.898149, 0, 0.3833822, 7.114763, 1.669046, 0.1729782, 0.1643926, 4.508367
5.697875133778437, 0.6337444, 0.3407204, 12.81725, 5.820766e-11, 7.134014, 0, 0.3636814, 6.693485, 1.925845, 0.1637469, 0.1467693, 4.247121
5.797837855423673, 0.9094084, 0.3144075, 12.15339, 5.820766e-11, 6.797832, 0, 0.3449931, 6.297152, 1.811159, 0.1550082, 0.1310353, 4.001014
5.897800577068908, 0.8679257, 0.2901267, 11.88857, 5.820766e-11, 6.477493, 0, 0.327265, 5.924287, 1.703303, 0.1467359, 0.116988, 3.769168
5.997763298714144, 0.9850562, 0.4867185, 11.93941, 4.365575e-11, 7.015307, 0, 0.7733722, 5.573499, 1.601869, 0.1389051, 0.1044466, 7.479418
6.09772602035938, 0.9329095, 0.4491306, 11.00266, 4.365575e-11, 6.684719, 0, 0.7336311, 5.243482, 1.506476, 0.1314922, 0.09324971, 11.81884
6.197688742004616, 0.8835235, 0.4144455, 10.97987, 4.365575e-11, 6.678729, 0, 0.6959323, 7.49629, 1.416764, 0.1244748, 1.196676, 11.13398
6.297651463649852, 0.8367518, 0.382439, 10.1184, 4.365575e-11, 7.141625, 0, 0.6601707, 7.052421, 1.332394, 0.117832, 1.06839, 10.4888
6.397614185295088, 0.7924562, 0.6581212, 11.10358, 2.910383e-11, 6.805085, 0, 0.6262467, 6.634835, 1.253049, 0.1115437, 0.9538558, 12.69777
6.497576906940323, 0.7505053, 0.6072963, 10.23241, 1.455192e-11, 7.428133, 0, 0.5940659, 6.241974, 1.178428, 0.105591, 0.8516002, 12.27434
6.597539628585559, 0.7107753, 0.7022579, 9.429586, 1.455192e-11, 7.078092, 0, 0.5635389, 5.872375, 1.108252, 0.09995591, 0.7603067, 13.84059
6.697502350230795, 0.6731485, 0.6480244, 9.309031, 7.275958e-12, 6.966674, 0, 0.5345805, 5.524662, 1.042254, 0.09462158, 1.261118, 13.96454
6.79746507187603, 0.6375136, 0.910515, 8.578655, 7.275958e-12, 6.638378, 0, 0.5071102, 5.197537, 0.9801866, 0.08957192, 1.209197, 15.44364
6.897427793521266, 0.6037651, 0.8401984, 7.905585, 7.275958e-12, 6.686446, 0, 0.4810515, 4.889781, 0.9218155, 0.08479175, 1.079569, 17.12202
6.997390515166502, 0.5718032, 0.7753122, 7.285322, 1.455192e-11, 6.504794, 0, 0.4563318, 4.600249, 0.8669204, 0.08026668, 1.432087, 21.59895
7.097353236811737, 0.5415332, 0.715437, 6.713725, 7.275958e-12, 6.198263, 0, 0.4328825, 4.32786, 0.8152943, 0.07598311, 1.770834, 25.71417
7.197315958456973, 0.5128657, 0.6601858, 7.811024, 1.455192e-11, 5.906178, 0, 0.4106381, 4.071599, 0.7667427, 0.07192813, 1.580996, 32.97704
7.297278680102209, 0.4857157, 0.6092014, 7.19818, 0.05589399, 6.892899, 0, 0.3895368, 3.830513, 0.7210823, 0.06808955, 1.41151, 34.13647
7.397241401747444, 0.4600031, 0.5621545, 6.63342, 0.05322631, 7.258815, 0, 0.3695198, 3.603701, 0.6781411, 0.06445583, 1.260193, 34.40571
7.497204123392681, 0.4356516, 0.5187408, 6.112969, 0.05068596, 6.916752, 0, 0.3505314, 3.390319, 0.8232641, 0.06101603, 1.125097, 32.65425
7.597166845037917, 0.4125892, 0.4786799, 5.633353, 0.04826684, 6.590809, 0, 0.3325188, 3.189573, 0.8637505, 0.0577598, 1.004484, 30.76204
7.697129566683152, 0.3907477, 0.8686164, 5.191367, 0.04596319, 6.280225, 0, 0.3154317, 3.000712, 0.8123133, 0.05467734, 0.8968011, 30.54887
7.797092288328388, 0.3700624, 0.8015356, 5.673969, 0.04376948, 5.984277, 0, 0.2992227, 2.823035, 0.7639392, 1.027383, 0.8006619, 30.4159
7.897055009973624, 0.3504722, 0.7396352, 5.900861, 0.04168047, 6.500043, 0, 0.2838467, 2.655878, 0.7184458, 1.751225, 0.7148291, 30.94468
7.997017731618859, 0.331919, 0.6825153, 5.437887, 0.03969117, 8.580943, 0, 0.2692607, 2.498619, 0.6756616, 1.657768, 0.6381978, 29.15154
8.096980453264095, 0.5806388, 0.6298065, 5.011237, 0.03779681, 8.176576, 0, 0.2554243, 2.350671, 0.6354252, 1.569298, 0.5697815, 28.74628
8.196943174909331, 0.8636641, 0.5811683, 4.995323, 0.03599287, 7.791265, 0, 0.2422989, 2.211483, 0.597585, 1.48555, 0.5086997, 27.08052
8.296905896554566, 0.8179438, 0.5362862, 4.603395, 0.03427502, 7.42411, 0, 0.229848, 2.080538, 0.5619982, 1.406271, 0.4541659, 25.51129
8.396868618199802, 0.7746437, 0.4948703, 4.242218, 0.03263916, 8.653811, 0, 0.2180369, 1.957345, 0.5285306, 1.331223, 0.4054782, 24.03299
8.496831339845038, 0.7336358, 0.4566529, 4.443213, 0.03108138, 8.717924, 0, 0.2068327, 1.841447, 0.4970561, 1.260179, 0.36201, 22.64035
8.596794061490273, 0.6947989, 0.4213869, 4.094604, 0.02959794, 8.307102, 0, 0.1962043, 1.732412, 0.4674559, 1.192928, 0.3232017, 21.32842
8.696756783135509, 0.6580179, 0.3888443, 3.773346, 0.02818531, 7.91564, 0, 0.186122, 1.629833, 0.4396183, 1.129265, 0.2885537, 20.0925
8.796719504780745, 0.6231839, 0.358815, 4.437913, 0.02684009, 8.050519, 0, 0.1765578, 1.533327, 0.4134386, 1.069, 0.6191294, 18.9282
8.89668222642598, 0.590194, 0.3311047, 4.08972, 0.0804838, 7.671148, 0, 0.1674851, 1.442536, 0.3888179, 1.01195, 0.5527573, 17.83137
8.996644948071216, 0.5589505, 0.3055344, 3.768846, 0.07664251, 7.309654, 0, 0.1588786, 1.357121, 0.3656634, 0.9579458, 0.4935004, 17.08246
9.096607669716452, 0.5293609, 0.2819388, 4.366291, 0.07298456, 7.899713, 0, 0.1507144, 1.276763, 0.4809328, 0.9068232, 0.440596, 16.41655
9.196570391361687, 0.5013378, 0.4956283, 4.023717, 0.1262927, 7.527449, 0, 0.1429697, 1.201164, 0.4522927, 0.858429, 0.3933631, 16.9091
9.296533113006923, 0.4747981, 0.4573523, 3.708021, 0.1202651, 7.822753, 0, 0.1356229, 1.130041, 0.4253582, 1.080807, 1.016054, 17.72061
9.396495834652159, 0.4496634, 0.4220323, 3.417094, 0.1145251, 8.390823, 0, 0.1286537, 1.063129, 0.4000277, 1.023128, 0.9071307, 18.14026
9.496458556297394, 0.4258593, 0.3894399, 3.148993, 0.1090591, 8.575193, 0, 0.1220427, 1.000179, 0.3762056, 0.9685266, 0.8098843, 17.08909
9.596421277942632, 0.4033153, 0.6679642, 2.901927, 0.103854, 8.171097, 0, 0.1157713, 0.940957, 0.3538021, 0.9168394, 0.7230628, 16.09883
9.696383999587868, 0.3819647, 0.6163791, 2.674245, 0.09889731, 9.160376, 0, 0.1098222, 0.8852413, 0.3327329, 0.9221934, 0.6455488, 15.16595
9.796346721233103, 0.3617444, 0.5687779, 2.597832, 0.09417719, 8.728704, 0, 0.1041788, 0.8328245, 0.3129182, 0.8729789, 0.5763445, 14.28713
9.896309442878339, 0.3425945, 0.5248528, 2.526996, 0.08968236, 8.317374, 0, 0.0988254, 0.7835115, 0.2942836, 0.8263907, 0.8045903, 14.04577
9.996272164523575, 0.3244583, 0.4843198, 7.829543, 0.08540204, 7.925428, 0, 0.09374709, 0.7371184, 1.947398, 0.7822889, 0.7183364, 13.57699
10.09623488616881, 0.3072823, 0.4469171, 19.29959, 0.08132602, 7.551952, 0, 0.08892974, 0.6934723, 1.831428, 0.7405406, 0.6413291, 12.79025
10.19619760781405, 0.2910154, 0.412403, 29.62041, 0.07744453, 7.196075, 0, 0.08435994, 0.6524106, 1.722365, 0.9305722, 0.5725772, 12.04909
10.29616032945928, 0.2756098, 0.3805543, 27.29643, 0.0737483, 7.71764, 0, 0.08002496, 0.6137802, 1.619796, 0.8809105, 1.221032, 11.83686
10.39612305110452, 0.2610196, 0.3511651, 25.81714, 0.07022848, 7.948372, 0, 0.07591275, 0.5774372, 1.523335, 0.833899, 1.090135, 13.72009
10.49608577274975, 0.2472019, 0.3240456, 23.79156, 0.06687665, 7.573815, 0, 0.07201185, 0.5432462, 1.514254, 0.7893965, 0.9732696, 13.7412
10.59604849439499, 0.2341156, 0.2990204, 21.9249, 0.0636848, 7.216908, 0, 0.0683114, 0.5110795, 2.016988, 1.265053, 0.8689328, 12.94494
10.69601121604022, 0.221722, 0.2759279, 21.67165, 0.06064528, 6.876821, 0, 0.0648011, 0.4808176, 2.922425, 1.197541, 0.7757813, 12.68656
10.79597393768546, 0.9872645, 0.2546187, 19.97132, 0.05775084, 6.552759, 0, 0.06147119, 0.4523475, 2.856687, 1.133632, 0.6926157, 11.95141
10.8959366593307, 0.935001, 0.2349552, 18.51368, 0.05499453, 6.243968, 0, 0.05831239, 0.4255632, 3.417521, 1.073134, 0.6183658, 11.25887
10.99589938097593, 0.8855042, 0.2168103, 18.0952, 0.05236978, 5.949728, 0, 0.05531592, 0.4003649, 3.214004, 1.015864, 0.5520756, 10.60645
11.09586210262117, 1.011913, 0.2000666, 17.76375, 0.04987031, 6.76722, 0, 0.05247341, 0.3766585, 3.022607, 1.106323, 0.4928918, 9.991839
11.1958248242664, 0.9583445, 0.184616, 16.74101, 0.04749012, 6.776835, 0, 0.04977698, 0.3543559, 2.842607, 1.047282, 0.4400527, 9.412843
11.29578754591164, 1.195853, 0.8280013, 16.07482, 0.04522354, 7.388846, 0, 0.04721911, 0.3333739, 2.673327, 1.695571, 0.392878, 8.867399
11.39575026755687, 1.261155, 0.764057, 15.23265, 0.04306514, 7.040656, 0, 0.04479268, 0.3136342, 2.514128, 1.605083, 0.3507606, 8.35356
11.49571298920211, 1.194392, 0.7050511, 14.29809, 0.04100975, 6.708873, 0, 0.04249093, 4.334814, 2.364409, 1.519425, 0.3131582, 8.268693
11.59567571084735, 1.131164, 0.6506019, 13.63603, 0.03905246, 6.392726, 0, 0.04030747, 4.078141, 3.088624, 1.709758, 0.279587, 8.503677
11.69563843249258, 1.071282, 0.6003578, 12.56617, 0.03718858, 6.091476, 0, 0.0382362, 3.836667, 2.99491, 1.618514, 1.416982, 8.010916
11.79560115413782, 1.014571, 0.5539938, 11.68953, 0.03541366, 5.804423, 0, 0.03627138, 3.609491, 2.81656, 1.532139, 1.327884, 7.546709
11.89556387578305, 0.9608621, 0.7688389, 12.82151, 0.03372346, 5.530897, 0, 0.03440751, 3.395767, 3.411105, 1.450373, 1.185532, 7.109401
11.99552659742829, 0.9099963, 0.7094636, 11.81555, 0.03211393, 7.652213, 0, 0.03263942, 3.194697, 3.20797, 1.442485, 1.145854, 6.697433
12.09548931907352, 0.8618231, 0.6546737, 11.23542, 0.03058121, 7.291612, 0, 0.03096219, 3.005533, 3.016932, 1.365504, 1.023015, 6.309338
12.19545204071876, 0.8162003, 0.604115, 12.28011, 0.02912165, 6.948003, 0, 0.02937115, 2.82757, 2.972186, 1.292632, 0.9133459, 6.037664
12.295414762364, 0.8199731, 0.5574609, 26.04748, 0.02773175, 6.620587, 0, 0.02786186, 2.660145, 2.887223, 1.325498, 0.8154331, 5.6878
12.39537748400923, 0.7765656, 0.5144097, 31.03316, 0.02640818, 6.3086, 0, 0.02643013, 2.502633, 2.715286, 1.254761, 0.8557401, 5.505907
12.49534020565447, 0.9823125, 0.4746833, 28.80901, 0.02514778, 6.011315, 0, 0.02507198, 2.354448, 2.553587, 1.187798, 0.7640028, 5.219812
12.5953029272997, 0.9303111, 0.4380248, 26.54869, 0.02394754, 6.364705, 0, 0.02378361, 2.215037, 2.662688, 1.124409, 0.6820999, 4.917341
12.69526564894494, 0.8810626, 0.4041973, 24.46571, 0.02280459, 6.064775, 0, 0.02256145, 2.08388, 2.504122, 1.064403, 0.6089773, 6.272563
12.79522837059018, 0.8344212, 0.3729823, 25.18774, 0.02171618, 5.77898, 0, 0.02140209, 1.96049, 2.354999, 1.007599, 0.5436935, 5.909088
12.89519109223541, 0.7902488, 0.3441779, 23.21154, 0.02067973, 5.506653, 0, 0.02030231, 1.844406, 2.214756, 0.9538267, 0.4854083, 5.608913
12.99515381388065, 0.7484149, 0.317598, 21.39039, 0.01969273, 5.93294, 0, 0.01925904, 1.735195, 2.082865, 0.902924, 0.4333714, 5.283894
13.09511653552588, 0.7087955, 0.2930708, 21.0015, 0.01875285, 5.653358, 0, 0.01826939, 1.632451, 3.039734, 0.8547378, 0.386913, 8.158031
13.19507925717112, 0.6712735, 0.2704377, 20.76981, 0.01785782, 5.38695, 0, 0.01733059, 1.535791, 2.858715, 0.8091232, 0.3454351, 7.685299
13.29504197881635, 0.6357378, 0.2495526, 20.06677, 0.01700551, 5.133096, 0, 0.01644002, 1.444854, 2.688475, 0.7659428, 0.3084036, 7.23996
13.39500470046159, 0.6020833, 0.2302803, 19.79946, 0.01619388, 4.891205, 0, 0.01559522, 1.359302, 2.528374, 0.7250668, 0.275342, 9.002501
13.49496742210682, 0.5702104, 0.2124964, 19.03226, 0.01542099, 4.660713, 0, 0.01479384, 1.278815, 2.377807, 0.7976491, 0.2458248, 10.46067
13.59493014375206, 0.5400248, 0.1960859, 17.53901, 0.01468499, 4.441082, 0, 0.01403363, 1.203094, 2.236206, 1.292327, 0.2194718, 10.20239
13.6948928653973, 0.5114371, 0.1809427, 16.60311, 0.01398411, 4.231802, 0, 0.01331249, 1.131857, 2.103037, 1.223359, 0.1959439, 10.24685
13.79485558704253, 0.4843628, 0.166969, 16.22253, 0.01331668, 4.970174, 0, 0.01262841, 1.064837, 2.291619, 1.158072, 0.1749383, 9.653075
13.89481830868777, 0.4587218, 0.322792, 14.94973, 0.01268111, 4.735961, 0, 0.01197948, 1.001786, 2.379432, 1.09627, 0.1561845, 9.093711
13.994781030333, 0.4344381, 0.3055148, 13.96233, 0.01207587, 5.105525, 0, 0.01136389, 0.9424688, 2.237735, 1.037765, 0.1394412, 8.566759
14.09474375197824, 0.41144, 0.2819207, 13.29039, 0.01149952, 4.864933, 0, 0.01077994, 0.8866636, 2.104475, 0.9823831, 0.1244927, 8.442805
14.19470647362347, 0.3896593, 1.424646, 12.78762, 0.01095068, 5.356282, 0, 0.01022599, 0.8341626, 1.979151, 0.9299564, 0.1111468, 8.297559
14.29466919526871, 0.3690316, 1.314625, 13.92588, 0.01042803, 5.103874, 0, 0.009700513, 0.7847703, 1.861291, 0.8803276, 0.09923165, 8.993546
14.39463191691395, 0.4179503, 1.2131, 13.47994, 0.009930328, 4.86336, 0, 0.009202035, 0.7383027, 1.750449, 0.8333473, 0.08859379, 8.562823
14.49459463855918, 0.395825, 1.119416, 12.42232, 0.009456379, 4.63418, 0, 0.008729174, 0.6945865, 1.704762, 2.507897, 0.5014812, 8.545892
14.59455736020442, 0.3748709, 1.032966, 11.64125, 0.00900505, 4.4158, 0, 0.008280611, 0.6534587, 1.664865, 2.448617, 0.4477212, 8.050684
14.69452008184965, 0.3550261, 1.155174, 10.72789, 0.008575262, 4.940858, 0, 1.002604, 0.6147663, 2.006579, 2.317942, 0.3997245, 8.042804
14.79448280349489, 0.3362319, 1.065963, 9.886191, 0.6573354, 4.708026, 0, 3.182999, 0.5783648, 1.887085, 2.194241, 0.3568731, 7.576748
14.89444552514012, 0.4876854, 0.9836417, 9.450126, 0.6259624, 4.486166, 0, 3.019435, 0.5441188, 1.774707, 2.077141, 0.3186155, 7.1377
14.99440824678536, 0.4618685, 0.9076778, 11.05035, 0.5960868, 4.274761, 0, 3.675104, 0.5119005, 1.669021, 1.966291, 0.2844592, 6.724092
15.0943709684306, 0.8382708, 0.8375803, 10.18335, 0.5676371, 4.073318, 0, 3.486253, 0.48159, 1.569629, 5.203408, 0.2539645, 6.334452
15.19433369007583, 0.7938947, 1.239482, 9.38438, 0.5405452, 3.881367, 0, 3.307106, 0.4530742, 1.476156, 5.720693, 0.2267389, 7.975129
15.29429641172107, 0.7669261, 1.14376, 8.678427, 0.5147464, 3.698463, 0, 3.137165, 0.4262468, 1.388249, 5.415397, 0.202432, 13.17686
15.3942591333663, 0.7263268, 1.05543, 7.997528, 0.4901788, 3.524177, 0, 2.975957, 0.401008, 1.701079, 5.126395, 0.1807308, 18.01786
15.49422185501154, 0.6878767, 0.9739224, 7.370051, 0.4667839, 3.358105, 0, 2.823032, 0.3772636, 1.599778, 4.852815, 0.161356, 24.38884
15.59418457665678, 0.6514621, 0.8987091, 8.034561, 0.4445055, 3.199858, 0, 2.677966, 0.3549252, 1.50451, 4.593836, 0.1440583, 27.35634
15.69414729830201, 0.6169752, 0.8293043, 7.670512, 0.4232903, 3.049068, 0, 2.540354, 0.3339094, 1.414915, 4.348677, 0.1286149, 29.85528
15.79411001994725, 0.5843139, 0.7652594, 16.21407, 0.4030877, 3.844969, 0, 2.409814, 0.314138, 2.349328, 4.116602, 0.480277, 29.37914
15.89407274159248, 0.5533817, 0.9161662, 26.87348, 0.3838494, 3.663779, 0, 2.285982, 0.2955374, 2.209423, 3.896912, 0.4287902, 31.0926
15.99403546323772, 0.524087, 1.667353, 24.76501, 0.3655292, 3.847036, 0, 2.168513, 0.2780381, 2.07785, 3.688946, 0.3828229, 36.27662
16.09399818488295, 0.496343, 1.538588, 22.82198, 0.3480835, 3.665749, 0, 2.05708, 0.2615749, 4.42464, 3.492079, 0.3417834, 36.3252
16.19396090652819, 0.4700677, 1.419767, 21.33596, 0.3314703, 3.493005, 0, 3.734473, 0.2460866, 4.780181, 3.305717, 0.3051435, 34.22027
16.29392362817342, 0.4451834, 1.310123, 20.63846, 0.3156501, 3.328401, 0, 5.013589, 0.2315154, 5.556352, 3.129302, 0.2724314, 32.23731
16.39388634981866, 0.4216164, 1.208946, 19.0192, 0.3005849, 3.631592, 0, 7.197368, 0.2178069, 7.803632, 2.962301, 0.2432261, 30.36926
16.4938490714639, 0.3992971, 1.115582, 17.52697, 0.2862388, 3.460457, 0, 7.973742, 0.2049102, 7.784854, 2.804212, 0.2171517, 28.60946
16.59381179310913, 0.3781592, 1.029429, 17.99428, 0.2725773, 3.297388, 0, 7.563998, 0.1927771, 7.804802, 3.064266, 0.1938726, 26.95163
